Year,Name,College,POS,Height,Weight,Wonderlic,40Yard,BenchPress,VertLeap,BroadJump,Shuttle,3Cone
2016,Cody Kessler,Southern California,QB,73.25,220,,4.89,,29.5,104,4,7.32
2016,Paxton Lynch,Memphis,QB,78.63,244,,4.86,,36,118,4.26,7.14
2016,Dak Prescott,Mississippi State,QB,74.25,226,,4.79,,32.5,116,4.32,7.11
2016,Jake Rudock,Michigan,QB,75,207,,,,,,,
2016,Joel Stave,Wisconsin,QB,77.25,236,,4.8,,33.5,115,4.33,7.29
2016,Chance Stewart,Hillsdale (MI),QB,77.25,254,,,,,,,
2016,Nate Sudfeld,Indiana,QB,78.13,234,,,,29,105,,
2016,Carson Wentz,North Dakota State,QB,77.25,237,29,4.77,,30.5,118,4.15,6.86
2016,Travis Wilson,Utah,QB,79.25,232,,,,,,,
2016,Josh Woodrum,Liberty (VA),QB,74.88,231,,4.8,,31,116,4.31,6.74
2017,Austin Appleby,Florida,QB,76.13,230,,,,,,,
2017,C.J. Beathard,Iowa,QB,74.13,219,26,,,31,113,,
2017,Joshua Dobbs,Tennessee,QB,75.25,216,29,4.64,,33,122,4.31,6.75
2017,Dane Evans,Tulsa (OK),QB,72.38,210,,,,,,,
2017,Jerod Evans,Virginia Tech,QB,74.63,232,21,4.8,,26.5,112,4.41,
2017,Perry Hills,Maryland,QB,74.25,209,,,,,,,
2017,Justin Holman,Central Florida,QB,75.88,215,,,,,,,
2017,Bart Houston,Wisconsin,QB,75,234,,,,,,,
2017,Jeremy Johnson,Auburn,QB,76.25,232,,,,,,,
2017,Brad Kaaya,Miami (FL),QB,75.75,214,34,,,,,,
2017,Chad Kelly,Mississippi,QB,73.75,224,22,,,,,4.08,
2017,Gunner Kiel,Cincinnati,QB,75.25,211,,,,,,,
2017,DeShone Kizer,Notre Dame,QB,76.13,233,28,4.83,,30.5,107,4.53,7.4
2017,Trevor Knight,Texas A&M,QB,72.75,219,,4.54,,35.5,124,4.14,7.04
2017,Mitch Leidner,Minnesota,QB,75.38,226,,4.93,,34.5,123,4.25,6.96
2017,Sefo Liufau,Colorado,QB,75.38,232,,5.08,,27,105,4.45,7.32
2017,Wes Lunt,Illinois,QB,76.25,222,,,,,,,
2017,Sean Maguire,Florida State,QB,73.88,219,,,,,,,
2017,Patrick Mahomes,Texas Tech,QB,74.13,225,24,4.8,,30,114,4.08,6.88
2017,Nick Mullens,Southern Mississippi,QB,72.88,214,,,,,,,
2017,Philip Nelson,East Carolina (NC),QB,73.38,203,,,,,,,
2017,Nathan Peterman,Pittsburgh,QB,74.63,226,33,4.82,,31,110,4.31,7.14
2017,Antonio Pipkin,Tiffin (OH),QB,72.88,225,,,,,,,
2017,Cooper Rush,Central Michigan,QB,74.63,228,,4.93,,27,105,4.47,7.23
2017,Seth Russell,Baylor,QB,74.88,213,,,,,,,
2017,Alek Torgersen,Pennsylvania,QB,74.38,230,,,,,,4.31,
2017,Patrick Towles,Boston College,QB,76.88,241,,,,,,,
2017,Mitchell Trubisky,North Carolina,QB,74.13,222,25,4.67,,27.5,116,4.25,6.87
2017,Phillip Walker,Temple,QB,71.25,214,,,,,,,
2017,Deshaun Watson,Clemson,QB,74.13,221,20,4.66,,32.5,119,4.31,6.95
2017,Davis Webb,California,QB,76.63,229,25,4.79,,33,118,4.21,6.92
